Time;In - ether1;In - sfp-sfpplus4 - modem;In - l2tp-out1;In - sfp1 - lantai 1;In - sfp2 - lantai 2;In - sfp3 - lantai 3;In - sfp4 - lantai 4;In - sfp5 - lantai 5;In - sfp-sfpplus1 - lantai 6;In - sfp-sfpplus2 - lantai 7;In - sfp-sfpplus3;Out - ether1;Out - sfp-sfpplus4 - modem;Out - l2tp-out1;Out - sfp1 - lantai 1;Out - sfp2 - lantai 2;Out - sfp3 - lantai 3;Out - sfp4 - lantai 4;Out - sfp5 - lantai 5;Out - sfp-sfpplus1 - lantai 6;Out - sfp-sfpplus2 - lantai 7;Out - sfp-sfpplus3
24/04/2024 16:05;0 b/s;32.0 Mb/s;0 b/s;54.0 kb/s;894 kb/s;839 kb/s;18.3 kb/s;1.04 Mb/s;560 kb/s;114 kb/s;0 b/s;0 b/s;-2.6 Mb/s;0 b/s;-463 kb/s;-2.4 Mb/s;-10 Mb/s;-7.7 kb/s;-5.5 Mb/s;-6.3 Mb/s;-1.5 Mb/s;0 b/s
24/04/2024 16:10;0 b/s;29.3 Mb/s;0 b/s;10.3 kb/s;581 kb/s;127 kb/s;44.7 kb/s;509 kb/s;1.22 Mb/s;206 kb/s;0 b/s;0 b/s;-1.6 Mb/s;0 b/s;-65 kb/s;-7.5 Mb/s;-67 kb/s;-45 kb/s;-1.8 Mb/s;-12 Mb/s;-1.1 Mb/s;0 b/s
24/04/2024 16:15;0 b/s;37.6 Mb/s;0 b/s;13.2 kb/s;641 kb/s;1.02 Mb/s;82.6 kb/s;829 kb/s;838 kb/s;201 kb/s;0 b/s;0 b/s;-2.6 Mb/s;0 b/s;-84 kb/s;-2.7 Mb/s;-6.8 Mb/s;-549 kb/s;-7.1 Mb/s;-7.1 Mb/s;-3.1 Mb/s;0 b/s
24/04/2024 16:20;0 b/s;35.9 Mb/s;0 b/s;12.2 kb/s;389 kb/s;940 kb/s;21.0 kb/s;788 kb/s;1.21 Mb/s;60.7 kb/s;0 b/s;0 b/s;-3.0 Mb/s;0 b/s;-67 kb/s;-831 kb/s;-3.1 Mb/s;-9.1 kb/s;-11 Mb/s;-18 Mb/s;-1.0 Mb/s;0 b/s
24/04/2024 16:25;0 b/s;25.4 Mb/s;0 b/s;34.1 kb/s;467 kb/s;655 kb/s;52.8 kb/s;1.05 Mb/s;481 kb/s;370 kb/s;0 b/s;0 b/s;-2.6 Mb/s;0 b/s;-100 kb/s;-4.8 Mb/s;-1.2 Mb/s;-62 kb/s;-10 Mb/s;-3.4 Mb/s;-1.7 Mb/s;0 b/s
24/04/2024 16:30;0 b/s;29.2 Mb/s;0 b/s;11.8 kb/s;547 kb/s;1.19 Mb/s;2.97 Mb/s;747 kb/s;440 kb/s;2.61 Mb/s;0 b/s;0 b/s;-7.5 Mb/s;0 b/s;-68 kb/s;-2.0 Mb/s;-4.3 Mb/s;-60 kb/s;-8.8 Mb/s;-3.1 Mb/s;-7.1 Mb/s;0 b/s
24/04/2024 16:35;0 b/s;31.1 Mb/s;0 b/s;11.0 kb/s;394 kb/s;759 kb/s;30.4 kb/s;1.05 Mb/s;936 kb/s;97.0 kb/s;0 b/s;0 b/s;-2.8 Mb/s;0 b/s;-68 kb/s;-2.0 Mb/s;-3.9 Mb/s;-34 kb/s;-15 Mb/s;-6.4 Mb/s;-1.0 Mb/s;0 b/s
24/04/2024 16:40;0 b/s;38.9 Mb/s;0 b/s;126 kb/s;564 kb/s;748 kb/s;51.9 kb/s;6.97 Mb/s;576 kb/s;409 kb/s;0 b/s;0 b/s;-8.7 Mb/s;0 b/s;-2.9 Mb/s;-2.3 Mb/s;-3.4 Mb/s;-91 kb/s;-19 Mb/s;-4.6 Mb/s;-2.6 Mb/s;0 b/s
24/04/2024 16:45;0 b/s;48.9 Mb/s;0 b/s;110 kb/s;434 kb/s;136 kb/s;10.1 kb/s;1.86 Mb/s;618 kb/s;587 kb/s;0 b/s;0 b/s;-3.3 Mb/s;0 b/s;-3.0 Mb/s;-1.5 Mb/s;-137 kb/s;-2.0 kb/s;-24 Mb/s;-6.7 Mb/s;-9.6 Mb/s;0 b/s
24/04/2024 16:50;0 b/s;52.9 Mb/s;0 b/s;145 kb/s;590 kb/s;221 kb/s;15.7 kb/s;1.46 Mb/s;884 kb/s;628 kb/s;0 b/s;0 b/s;-3.2 Mb/s;0 b/s;-2.6 Mb/s;-3.2 Mb/s;-2.5 Mb/s;-6.8 kb/s;-18 Mb/s;-14 Mb/s;-5.0 Mb/s;0 b/s
24/04/2024 16:55;0 b/s;21.2 Mb/s;0 b/s;41.1 kb/s;265 kb/s;263 kb/s;17.2 kb/s;717 kb/s;323 kb/s;278 kb/s;0 b/s;0 b/s;-1.5 Mb/s;0 b/s;-95 kb/s;-853 kb/s;-4.1 Mb/s;-9.4 kb/s;-7.6 Mb/s;-1.9 Mb/s;-3.7 Mb/s;0 b/s
24/04/2024 17:00;0 b/s;36.9 Mb/s;0 b/s;182 kb/s;861 kb/s;215 kb/s;23.8 kb/s;4.68 Mb/s;924 kb/s;265 kb/s;0 b/s;0 b/s;-6.6 Mb/s;0 b/s;-4.2 Mb/s;-9.5 Mb/s;-1.9 Mb/s;-9.4 kb/s;-6.3 Mb/s;-5.0 Mb/s;-3.8 Mb/s;0 b/s
24/04/2024 17:05;0 b/s;17.3 Mb/s;0 b/s;11.3 kb/s;513 kb/s;218 kb/s;9.86 kb/s;416 kb/s;643 kb/s;120 kb/s;0 b/s;0 b/s;-1.5 Mb/s;0 b/s;-70 kb/s;-4.1 Mb/s;-402 kb/s;-2.0 kb/s;-3.5 Mb/s;-6.7 Mb/s;-466 kb/s;0 b/s
24/04/2024 17:10;0 b/s;16.4 Mb/s;0 b/s;9.26 kb/s;543 kb/s;146 kb/s;13.7 kb/s;1.27 Mb/s;5.84 Mb/s;18.9 kb/s;0 b/s;0 b/s;-7.0 Mb/s;0 b/s;-60 kb/s;-4.8 Mb/s;-468 kb/s;-3.5 kb/s;-4.8 Mb/s;-4.3 Mb/s;-11 kb/s;0 b/s
24/04/2024 17:15;0 b/s;37.1 Mb/s;0 b/s;55.1 kb/s;352 kb/s;518 kb/s;17.0 kb/s;391 kb/s;1.16 Mb/s;578 kb/s;0 b/s;0 b/s;-2.7 Mb/s;0 b/s;-109 kb/s;-610 kb/s;-7.2 Mb/s;-15 kb/s;-1.6 Mb/s;-16 Mb/s;-6.7 Mb/s;0 b/s
24/04/2024 17:20;0 b/s;33.6 Mb/s;0 b/s;81.4 kb/s;379 kb/s;116 kb/s;110 kb/s;778 kb/s;897 kb/s;199 kb/s;0 b/s;0 b/s;-2.0 Mb/s;0 b/s;-1.3 Mb/s;-1.8 Mb/s;-681 kb/s;-2.9 Mb/s;-5.5 Mb/s;-18 Mb/s;-388 kb/s;0 b/s
24/04/2024 17:25;0 b/s;36.0 Mb/s;0 b/s;93.1 kb/s;376 kb/s;775 kb/s;95.4 kb/s;662 kb/s;503 kb/s;109 kb/s;0 b/s;0 b/s;-1.9 Mb/s;0 b/s;-2.1 Mb/s;-269 kb/s;-10 Mb/s;-3.8 Mb/s;-7.9 Mb/s;-9.2 Mb/s;-41 kb/s;0 b/s
24/04/2024 17:30;0 b/s;22.7 Mb/s;0 b/s;51.6 kb/s;281 kb/s;315 kb/s;58.4 kb/s;391 kb/s;561 kb/s;21.3 kb/s;0 b/s;0 b/s;-1.1 Mb/s;0 b/s;-93 kb/s;-1.7 Mb/s;-4.1 Mb/s;-1.5 Mb/s;-1.4 Mb/s;-7.8 Mb/s;-16 kb/s;0 b/s
24/04/2024 17:35;0 b/s;34.7 Mb/s;0 b/s;230 kb/s;226 kb/s;153 kb/s;118 kb/s;485 kb/s;707 kb/s;15.1 kb/s;0 b/s;0 b/s;-1.5 Mb/s;0 b/s;-6.0 Mb/s;-1.3 Mb/s;-195 kb/s;-3.7 Mb/s;-4.8 Mb/s;-16 Mb/s;-3.9 kb/s;0 b/s
24/04/2024 17:40;0 b/s;26.0 Mb/s;0 b/s;83.8 kb/s;558 kb/s;312 kb/s;135 kb/s;668 kb/s;816 kb/s;92.0 kb/s;0 b/s;0 b/s;-1.8 Mb/s;0 b/s;-571 kb/s;-4.3 Mb/s;-100 kb/s;-3.2 Mb/s;-4.0 Mb/s;-6.8 Mb/s;-826 kb/s;0 b/s
24/04/2024 17:45;0 b/s;28.3 Mb/s;0 b/s;149 kb/s;555 kb/s;406 kb/s;92.4 kb/s;692 kb/s;198 kb/s;105 kb/s;0 b/s;0 b/s;-1.5 Mb/s;0 b/s;-3.4 Mb/s;-11 Mb/s;-5.7 Mb/s;-894 kb/s;-650 kb/s;-2.3 Mb/s;-70 kb/s;0 b/s
24/04/2024 17:50;0 b/s;22.8 Mb/s;0 b/s;102 kb/s;566 kb/s;145 kb/s;1.84 Mb/s;634 kb/s;375 kb/s;151 kb/s;0 b/s;0 b/s;-3.2 Mb/s;0 b/s;-1.9 Mb/s;-4.2 Mb/s;-548 kb/s;-45 kb/s;-4.5 Mb/s;-7.9 Mb/s;-67 kb/s;0 b/s
24/04/2024 17:55;0 b/s;33.5 Mb/s;0 b/s;176 kb/s;726 kb/s;135 kb/s;8.86 kb/s;907 kb/s;522 kb/s;236 kb/s;0 b/s;0 b/s;-2.2 Mb/s;0 b/s;-4.0 Mb/s;-9.7 Mb/s;-548 kb/s;-1.4 kb/s;-10 Mb/s;-5.5 Mb/s;-92 kb/s;0 b/s
24/04/2024 18:00;0 b/s;22.9 Mb/s;0 b/s;103 kb/s;565 kb/s;113 kb/s;9.82 kb/s;1.11 Mb/s;227 kb/s;96.6 kb/s;0 b/s;0 b/s;-1.7 Mb/s;0 b/s;-2.4 Mb/s;-9.8 Mb/s;-46 kb/s;-2.2 kb/s;-6.8 Mb/s;-1.5 Mb/s;-65 kb/s;0 b/s
24/04/2024 18:05;0 b/s;26.1 Mb/s;0 b/s;232 kb/s;3.27 Mb/s;596 kb/s;59.3 kb/s;969 kb/s;517 kb/s;239 kb/s;0 b/s;0 b/s;-5.1 Mb/s;0 b/s;-5.4 Mb/s;-2.6 Mb/s;-1.9 Mb/s;-25 kb/s;-6.8 Mb/s;-6.2 Mb/s;-78 kb/s;0 b/s
24/04/2024 18:10;0 b/s;6.09 Mb/s;0 b/s;12.1 kb/s;228 kb/s;67.0 kb/s;148 kb/s;507 kb/s;210 kb/s;101 kb/s;0 b/s;0 b/s;-724 kb/s;0 b/s;-53 kb/s;-337 kb/s;-22 kb/s;-338 kb/s;-521 kb/s;-3.1 Mb/s;-1.0 Mb/s;0 b/s
24/04/2024 18:15;0 b/s;19.9 Mb/s;0 b/s;53.5 kb/s;441 kb/s;192 kb/s;278 kb/s;356 kb/s;454 kb/s;28.6 kb/s;0 b/s;0 b/s;-1.3 Mb/s;0 b/s;-808 kb/s;-2.4 Mb/s;-826 kb/s;-2.9 Mb/s;-2.7 Mb/s;-8.3 Mb/s;-31 kb/s;0 b/s
24/04/2024 18:20;0 b/s;14.1 Mb/s;0 b/s;32.4 kb/s;344 kb/s;186 kb/s;13.4 kb/s;339 kb/s;461 kb/s;73.1 kb/s;0 b/s;0 b/s;-1.1 Mb/s;0 b/s;-414 kb/s;-4.8 Mb/s;-247 kb/s;-10 kb/s;-4.2 Mb/s;-3.1 Mb/s;-76 kb/s;0 b/s
24/04/2024 18:25;0 b/s;15.7 Mb/s;0 b/s;56.5 kb/s;338 kb/s;220 kb/s;10.2 kb/s;623 kb/s;604 kb/s;131 kb/s;0 b/s;0 b/s;-1.6 Mb/s;0 b/s;-770 kb/s;-2.6 Mb/s;-136 kb/s;-2.3 kb/s;-3.7 Mb/s;-6.2 Mb/s;-145 kb/s;0 b/s
24/04/2024 18:30;0 b/s;16.8 Mb/s;0 b/s;34.1 kb/s;212 kb/s;99.2 kb/s;153 kb/s;452 kb/s;562 kb/s;131 kb/s;0 b/s;0 b/s;-1.2 Mb/s;0 b/s;-411 kb/s;-618 kb/s;-65 kb/s;-151 kb/s;-4.5 Mb/s;-8.5 Mb/s;-1.9 Mb/s;0 b/s
