Time;In - ether1;In - sfp-sfpplus4 - modem;In - l2tp-out1;In - sfp1 - lantai 1;In - sfp2 - lantai 2;In - sfp3 - lantai 3;In - sfp4 - lantai 4;In - sfp5 - lantai 5;In - sfp-sfpplus1 - lantai 6;In - sfp-sfpplus2 - lantai 7;In - sfp-sfpplus3;Out - ether1;Out - sfp-sfpplus4 - modem;Out - l2tp-out1;Out - sfp1 - lantai 1;Out - sfp2 - lantai 2;Out - sfp3 - lantai 3;Out - sfp4 - lantai 4;Out - sfp5 - lantai 5;Out - sfp-sfpplus1 - lantai 6;Out - sfp-sfpplus2 - lantai 7;Out - sfp-sfpplus3
26/04/2024 01:05;0 b/s;13.4 Mb/s;0 b/s;4.32 kb/s;288 kb/s;409 kb/s;5.01 kb/s;34.4 kb/s;20.2 kb/s;146 kb/s;0 b/s;0 b/s;-936 kb/s;0 b/s;-25 kb/s;-9.3 Mb/s;-3.7 Mb/s;-2.7 kb/s;-295 kb/s;-1.4 kb/s;-3.8 Mb/s;0 b/s
26/04/2024 01:10;0 b/s;14.7 Mb/s;0 b/s;4.59 kb/s;270 kb/s;95.1 kb/s;11.3 kb/s;53.7 kb/s;140 kb/s;175 kb/s;0 b/s;0 b/s;-617 kb/s;0 b/s;-25 kb/s;-7.9 Mb/s;-1.4 Mb/s;-13 kb/s;-311 kb/s;-1.1 Mb/s;-3.1 Mb/s;0 b/s
26/04/2024 01:15;0 b/s;20.6 Mb/s;0 b/s;4.45 kb/s;265 kb/s;579 kb/s;9.81 kb/s;36.2 kb/s;17.1 kb/s;199 kb/s;0 b/s;0 b/s;-1.0 Mb/s;0 b/s;-25 kb/s;-7.5 Mb/s;-10 Mb/s;-5.6 kb/s;-7.8 kb/s;-434 b/s;-2.9 Mb/s;0 b/s
26/04/2024 01:20;0 b/s;19.5 Mb/s;0 b/s;4.42 kb/s;333 kb/s;479 kb/s;5.51 kb/s;49.0 kb/s;18.3 kb/s;620 kb/s;0 b/s;0 b/s;-1.6 Mb/s;0 b/s;-29 kb/s;-9.6 Mb/s;-5.5 Mb/s;-3.4 kb/s;-514 kb/s;-1.1 kb/s;-5.5 Mb/s;0 b/s
26/04/2024 01:25;0 b/s;16.9 Mb/s;0 b/s;4.31 kb/s;273 kb/s;545 kb/s;5.07 kb/s;37.9 kb/s;20.7 kb/s;137 kb/s;0 b/s;0 b/s;-921 kb/s;0 b/s;-31 kb/s;-7.7 Mb/s;-7.0 Mb/s;-3.0 kb/s;-6.2 kb/s;-2.3 kb/s;-2.0 Mb/s;0 b/s
26/04/2024 01:30;0 b/s;22.5 Mb/s;0 b/s;4.41 kb/s;316 kb/s;16.9 Mb/s;4.80 kb/s;38.4 kb/s;18.6 kb/s;990 kb/s;0 b/s;0 b/s;-17 Mb/s;0 b/s;-26 kb/s;-9.1 Mb/s;-9.4 Mb/s;-3.0 kb/s;-6.8 kb/s;-1.3 kb/s;-2.9 Mb/s;0 b/s
26/04/2024 01:35;0 b/s;15.5 Mb/s;0 b/s;4.27 kb/s;208 kb/s;9.14 Mb/s;4.65 kb/s;42.1 kb/s;19.1 kb/s;183 kb/s;0 b/s;0 b/s;-9.5 Mb/s;0 b/s;-24 kb/s;-6.2 Mb/s;-8.8 Mb/s;-2.3 kb/s;-238 kb/s;-2.0 kb/s;-155 kb/s;0 b/s
26/04/2024 01:40;0 b/s;18.0 Mb/s;0 b/s;4.48 kb/s;254 kb/s;9.60 Mb/s;6.90 kb/s;35.9 kb/s;21.0 kb/s;33.9 kb/s;0 b/s;0 b/s;-9.9 Mb/s;0 b/s;-24 kb/s;-7.1 Mb/s;-11 Mb/s;-5.9 kb/s;-6.0 kb/s;-2.3 kb/s;-21 kb/s;0 b/s
26/04/2024 01:45;0 b/s;24.3 Mb/s;0 b/s;4.98 kb/s;268 kb/s;7.57 Mb/s;5.97 kb/s;136 kb/s;20.0 kb/s;667 kb/s;0 b/s;0 b/s;-8.5 Mb/s;0 b/s;-25 kb/s;-8.5 Mb/s;-5.4 Mb/s;-3.5 kb/s;-1.9 Mb/s;-876 b/s;-7.0 Mb/s;0 b/s
26/04/2024 01:50;0 b/s;14.7 Mb/s;0 b/s;4.19 kb/s;120 kb/s;9.55 Mb/s;4.07 kb/s;64.8 kb/s;17.1 kb/s;1.49 Mb/s;0 b/s;0 b/s;-12 Mb/s;0 b/s;-28 kb/s;-4.7 Mb/s;-8.1 Mb/s;-2.1 kb/s;-744 kb/s;-803 b/s;-4.2 Mb/s;0 b/s
26/04/2024 01:55;0 b/s;11.6 Mb/s;0 b/s;4.19 kb/s;128 kb/s;22.7 Mb/s;10.2 kb/s;33.0 kb/s;22.1 kb/s;1.28 Mb/s;0 b/s;0 b/s;-23 Mb/s;0 b/s;-21 kb/s;-4.3 Mb/s;-3.5 Mb/s;-7.3 kb/s;-4.7 kb/s;-1.6 kb/s;-2.7 Mb/s;0 b/s
26/04/2024 02:00;0 b/s;16.3 Mb/s;0 b/s;4.43 kb/s;133 kb/s;14.4 Mb/s;12.0 kb/s;84.8 kb/s;18.0 kb/s;69.5 kb/s;0 b/s;0 b/s;-15 Mb/s;0 b/s;-24 kb/s;-4.7 Mb/s;-10 Mb/s;-10 kb/s;-1.0 Mb/s;-906 b/s;-124 kb/s;0 b/s
26/04/2024 02:05;0 b/s;41.2 Mb/s;0 b/s;4.19 kb/s;169 kb/s;3.44 Mb/s;6.51 kb/s;54.1 kb/s;17.9 kb/s;4.49 kb/s;0 b/s;0 b/s;-3.4 Mb/s;0 b/s;-22 kb/s;-4.4 Mb/s;-35 Mb/s;-6.0 kb/s;-12 kb/s;-566 b/s;-580 b/s;0 b/s
26/04/2024 02:10;0 b/s;27.0 Mb/s;0 b/s;4.12 kb/s;177 kb/s;2.85 Mb/s;10.6 kb/s;42.0 kb/s;18.8 kb/s;6.08 kb/s;0 b/s;0 b/s;-3.0 Mb/s;0 b/s;-24 kb/s;-5.2 Mb/s;-22 Mb/s;-14 kb/s;-12 kb/s;-1.6 kb/s;-1.5 kb/s;0 b/s
26/04/2024 02:15;0 b/s;10.7 Mb/s;0 b/s;4.19 kb/s;168 kb/s;4.84 Mb/s;7.93 kb/s;52.4 kb/s;17.3 kb/s;7.77 kb/s;0 b/s;0 b/s;-4.5 Mb/s;0 b/s;-21 kb/s;-4.9 Mb/s;-3.3 Mb/s;-5.8 kb/s;-313 kb/s;-526 b/s;-5.4 kb/s;0 b/s
26/04/2024 02:20;0 b/s;22.1 Mb/s;0 b/s;4.12 kb/s;222 kb/s;2.34 Mb/s;7.22 kb/s;32.4 kb/s;20.6 kb/s;12.9 kb/s;0 b/s;0 b/s;-2.6 Mb/s;0 b/s;-24 kb/s;-6.2 Mb/s;-16 Mb/s;-3.6 kb/s;-5.2 kb/s;-2.9 kb/s;-12 kb/s;0 b/s
26/04/2024 02:25;0 b/s;20.2 Mb/s;0 b/s;4.22 kb/s;175 kb/s;1.15 Mb/s;5.42 kb/s;96.1 kb/s;20.5 kb/s;352 kb/s;0 b/s;0 b/s;-1.7 Mb/s;0 b/s;-24 kb/s;-5.1 Mb/s;-11 Mb/s;-3.7 kb/s;-1.5 Mb/s;-1.6 kb/s;-2.8 Mb/s;0 b/s
26/04/2024 02:30;0 b/s;9.79 Mb/s;0 b/s;4.26 kb/s;175 kb/s;8.88 Mb/s;5.81 kb/s;38.4 kb/s;18.0 kb/s;20.9 kb/s;0 b/s;0 b/s;-8.8 Mb/s;0 b/s;-25 kb/s;-5.3 Mb/s;-4.0 Mb/s;-4.4 kb/s;-6.6 kb/s;-1.2 kb/s;-42 kb/s;0 b/s
26/04/2024 02:35;0 b/s;7.83 Mb/s;0 b/s;4.26 kb/s;121 kb/s;5.84 Mb/s;7.06 kb/s;32.4 kb/s;17.7 kb/s;6.69 kb/s;0 b/s;0 b/s;-5.9 Mb/s;0 b/s;-24 kb/s;-4.5 Mb/s;-3.3 Mb/s;-3.6 kb/s;-5.0 kb/s;-803 b/s;-2.0 kb/s;0 b/s
26/04/2024 02:40;0 b/s;8.56 Mb/s;0 b/s;4.12 kb/s;123 kb/s;2.13 Mb/s;4.54 kb/s;49.2 kb/s;20.3 kb/s;7.51 kb/s;0 b/s;0 b/s;-2.3 Mb/s;0 b/s;-24 kb/s;-4.5 Mb/s;-3.7 Mb/s;-2.5 kb/s;-301 kb/s;-1.7 kb/s;-3.1 kb/s;0 b/s
26/04/2024 02:45;0 b/s;13.0 Mb/s;0 b/s;4.26 kb/s;119 kb/s;235 kb/s;4.57 kb/s;37.9 kb/s;16.6 kb/s;134 kb/s;0 b/s;0 b/s;-469 kb/s;0 b/s;-24 kb/s;-4.5 Mb/s;-7.9 Mb/s;-2.5 kb/s;-7.6 kb/s;-314 b/s;-582 kb/s;0 b/s
26/04/2024 02:50;0 b/s;16.2 Mb/s;0 b/s;4.16 kb/s;124 kb/s;300 kb/s;15.7 kb/s;111 kb/s;17.8 kb/s;11.3 kb/s;0 b/s;0 b/s;-491 kb/s;0 b/s;-24 kb/s;-4.4 Mb/s;-10 Mb/s;-12 kb/s;-1.4 Mb/s;-598 b/s;-81 kb/s;0 b/s
26/04/2024 02:55;0 b/s;12.2 Mb/s;0 b/s;4.23 kb/s;125 kb/s;121 kb/s;6.36 kb/s;84.8 kb/s;22.4 kb/s;77.4 kb/s;0 b/s;0 b/s;-354 kb/s;0 b/s;-24 kb/s;-4.5 Mb/s;-776 kb/s;-3.7 kb/s;-1.2 Mb/s;-1.9 kb/s;-5.7 Mb/s;0 b/s
26/04/2024 03:00;0 b/s;14.2 Mb/s;0 b/s;4.06 kb/s;139 kb/s;88.0 kb/s;11.4 kb/s;32.2 kb/s;17.6 kb/s;92.1 kb/s;0 b/s;0 b/s;-300 kb/s;0 b/s;-24 kb/s;-4.5 Mb/s;-460 kb/s;-6.8 kb/s;-5.5 kb/s;-1.9 kb/s;-9.3 Mb/s;0 b/s
26/04/2024 03:05;0 b/s;9.24 Mb/s;0 b/s;4.12 kb/s;120 kb/s;8.04 Mb/s;20.1 kb/s;94.1 kb/s;17.5 kb/s;45.3 kb/s;0 b/s;0 b/s;-8.2 Mb/s;0 b/s;-24 kb/s;-4.3 Mb/s;-3.4 Mb/s;-8.9 kb/s;-1.4 Mb/s;-859 b/s;-58 kb/s;0 b/s
26/04/2024 03:10;0 b/s;7.77 Mb/s;0 b/s;508 kb/s;123 kb/s;817 kb/s;3.72 kb/s;104 kb/s;12.3 kb/s;17.0 kb/s;0 b/s;0 b/s;-1.3 Mb/s;0 b/s;-1.4 Mb/s;-2.8 Mb/s;-1.1 Mb/s;-1.2 kb/s;-801 kb/s;-1.1 kb/s;-15 kb/s;0 b/s
26/04/2024 03:15;0 b/s;11.6 Mb/s;0 b/s;19.1 kb/s;164 kb/s;1.02 Mb/s;3.66 kb/s;35.3 kb/s;17.8 kb/s;31.8 kb/s;0 b/s;0 b/s;-1.2 Mb/s;0 b/s;-38 kb/s;-5.1 Mb/s;-6.3 Mb/s;-1.8 kb/s;-7.1 kb/s;-1.5 kb/s;-47 kb/s;0 b/s
26/04/2024 03:20;0 b/s;16.8 Mb/s;0 b/s;937 kb/s;177 kb/s;1.16 Mb/s;4.46 kb/s;80.4 kb/s;19.1 kb/s;15.1 kb/s;0 b/s;0 b/s;-2.3 Mb/s;0 b/s;-2.6 Mb/s;-5.3 Mb/s;-7.4 Mb/s;-3.8 kb/s;-922 kb/s;-1.9 kb/s;-16 kb/s;0 b/s
26/04/2024 03:25;0 b/s;13.6 Mb/s;0 b/s;2.05 Mb/s;145 kb/s;1.30 Mb/s;4.46 kb/s;36.1 kb/s;20.2 kb/s;10.5 kb/s;0 b/s;0 b/s;-3.3 Mb/s;0 b/s;-1.4 Mb/s;-4.9 Mb/s;-7.2 Mb/s;-2.5 kb/s;-5.5 kb/s;-1.6 kb/s;-5.1 kb/s;0 b/s
26/04/2024 03:30;0 b/s;19.7 Mb/s;0 b/s;2.92 Mb/s;158 kb/s;942 kb/s;4.83 kb/s;110 kb/s;18.3 kb/s;10.4 kb/s;0 b/s;0 b/s;-3.9 Mb/s;0 b/s;-2.2 Mb/s;-5.1 Mb/s;-11 Mb/s;-3.1 kb/s;-1.6 Mb/s;-1.3 kb/s;-8.1 kb/s;0 b/s
26/04/2024 03:35;0 b/s;18.0 Mb/s;0 b/s;2.47 Mb/s;107 kb/s;333 kb/s;7.22 kb/s;70.1 kb/s;20.6 kb/s;52.3 kb/s;0 b/s;0 b/s;-2.7 Mb/s;0 b/s;-1.4 Mb/s;-3.8 Mb/s;-9.0 Mb/s;-3.4 kb/s;-857 kb/s;-2.8 kb/s;-1.8 Mb/s;0 b/s
26/04/2024 03:40;0 b/s;18.1 Mb/s;0 b/s;3.08 Mb/s;111 kb/s;367 kb/s;4.71 kb/s;33.4 kb/s;20.6 kb/s;48.6 kb/s;0 b/s;0 b/s;-3.4 Mb/s;0 b/s;-1.6 Mb/s;-4.0 Mb/s;-11 Mb/s;-3.1 kb/s;-5.0 kb/s;-2.0 kb/s;-1.3 Mb/s;0 b/s
26/04/2024 03:45;0 b/s;13.9 Mb/s;0 b/s;3.07 Mb/s;107 kb/s;228 kb/s;3.86 kb/s;70.7 kb/s;18.3 kb/s;39.5 kb/s;0 b/s;0 b/s;-3.3 Mb/s;0 b/s;-1.3 Mb/s;-4.0 Mb/s;-6.2 Mb/s;-2.0 kb/s;-852 kb/s;-1.8 kb/s;-1.5 Mb/s;0 b/s
26/04/2024 03:50;0 b/s;19.7 Mb/s;0 b/s;3.62 Mb/s;148 kb/s;505 kb/s;4.25 kb/s;33.4 kb/s;18.2 kb/s;41.6 kb/s;0 b/s;0 b/s;-4.1 Mb/s;0 b/s;-1.8 Mb/s;-4.0 Mb/s;-12 Mb/s;-2.5 kb/s;-5.4 kb/s;-1.2 kb/s;-1.5 Mb/s;0 b/s
26/04/2024 03:55;0 b/s;25.9 Mb/s;0 b/s;6.27 Mb/s;148 kb/s;521 kb/s;3.70 kb/s;49.2 kb/s;26.5 kb/s;62.8 kb/s;0 b/s;0 b/s;-6.5 Mb/s;0 b/s;-2.8 Mb/s;-5.6 Mb/s;-15 Mb/s;-681 b/s;-8.0 kb/s;-2.8 kb/s;-2.4 Mb/s;0 b/s
26/04/2024 04:00;0 b/s;4.43 Mb/s;0 b/s;13.6 kb/s;104 kb/s;25.4 kb/s;5.40 kb/s;52.5 kb/s;17.9 kb/s;21.9 kb/s;0 b/s;0 b/s;-153 kb/s;0 b/s;-31 kb/s;-4.0 Mb/s;-21 kb/s;-3.3 kb/s;-321 kb/s;-1.8 kb/s;-17 kb/s;0 b/s
26/04/2024 04:05;0 b/s;8.36 Mb/s;0 b/s;4.48 kb/s;173 kb/s;37.8 kb/s;4.38 kb/s;35.2 kb/s;84.5 kb/s;99.3 kb/s;0 b/s;0 b/s;-288 kb/s;0 b/s;-24 kb/s;-4.1 Mb/s;-160 kb/s;-2.3 kb/s;-4.9 kb/s;-1.5 Mb/s;-2.6 Mb/s;0 b/s
26/04/2024 04:10;0 b/s;12.7 Mb/s;0 b/s;3.63 kb/s;109 kb/s;218 kb/s;3.33 kb/s;98.1 kb/s;36.9 kb/s;178 kb/s;0 b/s;0 b/s;-569 kb/s;0 b/s;-13 kb/s;-4.0 Mb/s;-1.4 Mb/s;-1.5 kb/s;-1.4 Mb/s;-374 kb/s;-5.3 Mb/s;0 b/s
26/04/2024 04:15;0 b/s;16.3 Mb/s;0 b/s;9.33 kb/s;111 kb/s;256 kb/s;5.05 kb/s;37.1 kb/s;17.6 kb/s;65.5 kb/s;0 b/s;0 b/s;-420 kb/s;0 b/s;-28 kb/s;-4.2 Mb/s;-11 Mb/s;-2.9 kb/s;-8.7 kb/s;-896 b/s;-1.1 Mb/s;0 b/s
26/04/2024 04:20;0 b/s;5.53 Mb/s;0 b/s;4.24 kb/s;162 kb/s;35.5 kb/s;4.41 kb/s;32.7 kb/s;32.6 kb/s;10.2 kb/s;0 b/s;0 b/s;-200 kb/s;0 b/s;-24 kb/s;-5.1 Mb/s;-15 kb/s;-2.5 kb/s;-4.8 kb/s;-298 kb/s;-7.3 kb/s;0 b/s
26/04/2024 04:25;0 b/s;6.68 Mb/s;0 b/s;4.27 kb/s;159 kb/s;22.0 kb/s;4.15 kb/s;89.7 kb/s;31.0 kb/s;12.8 kb/s;0 b/s;0 b/s;-237 kb/s;0 b/s;-24 kb/s;-5.1 Mb/s;-17 kb/s;-2.1 kb/s;-1.4 Mb/s;-5.8 kb/s;-9.1 kb/s;0 b/s
26/04/2024 04:30;0 b/s;9.61 Mb/s;0 b/s;10.1 kb/s;158 kb/s;138 kb/s;4.25 kb/s;52.9 kb/s;90.7 kb/s;1.43 Mb/s;0 b/s;0 b/s;-1.8 Mb/s;0 b/s;-29 kb/s;-5.2 Mb/s;-1.6 Mb/s;-1.9 kb/s;-17 kb/s;-1.2 Mb/s;-1.3 Mb/s;0 b/s
26/04/2024 04:35;0 b/s;13.7 Mb/s;0 b/s;4.14 kb/s;118 kb/s;208 kb/s;4.53 kb/s;101 kb/s;33.7 kb/s;248 kb/s;0 b/s;0 b/s;-629 kb/s;0 b/s;-24 kb/s;-4.3 Mb/s;-2.9 Mb/s;-2.2 kb/s;-1.5 Mb/s;-314 kb/s;-4.6 Mb/s;0 b/s
26/04/2024 04:40;0 b/s;13.1 Mb/s;0 b/s;4.09 kb/s;186 kb/s;126 kb/s;4.47 kb/s;57.3 kb/s;20.3 kb/s;199 kb/s;0 b/s;0 b/s;-513 kb/s;0 b/s;-24 kb/s;-5.6 Mb/s;-1.3 Mb/s;-2.5 kb/s;-531 kb/s;-1.4 kb/s;-5.5 Mb/s;0 b/s
26/04/2024 04:45;0 b/s;8.79 Mb/s;0 b/s;9.32 kb/s;172 kb/s;68.2 kb/s;4.54 kb/s;37.7 kb/s;71.6 kb/s;130 kb/s;0 b/s;0 b/s;-411 kb/s;0 b/s;-28 kb/s;-4.9 Mb/s;-77 kb/s;-2.6 kb/s;-7.9 kb/s;-1.2 Mb/s;-2.4 Mb/s;0 b/s
26/04/2024 04:50;0 b/s;5.90 Mb/s;0 b/s;3.78 kb/s;96.6 kb/s;90.3 kb/s;4.50 kb/s;46.3 kb/s;16.5 kb/s;86.4 kb/s;0 b/s;0 b/s;-266 kb/s;0 b/s;-23 kb/s;-3.8 Mb/s;-72 kb/s;-2.6 kb/s;-309 kb/s;-482 b/s;-1.7 Mb/s;0 b/s
26/04/2024 04:55;0 b/s;10.6 Mb/s;0 b/s;3.89 kb/s;107 kb/s;988 kb/s;6.14 kb/s;33.1 kb/s;22.5 kb/s;376 kb/s;0 b/s;0 b/s;-1.4 Mb/s;0 b/s;-23 kb/s;-3.8 Mb/s;-101 kb/s;-2.7 kb/s;-6.3 kb/s;-3.0 kb/s;-6.6 Mb/s;0 b/s
26/04/2024 05:00;0 b/s;7.26 Mb/s;0 b/s;3.69 kb/s;110 kb/s;194 kb/s;4.98 kb/s;35.6 kb/s;74.4 kb/s;109 kb/s;0 b/s;0 b/s;-443 kb/s;0 b/s;-23 kb/s;-3.8 Mb/s;-1.2 Mb/s;-3.2 kb/s;-7.4 kb/s;-1.4 Mb/s;-798 kb/s;0 b/s
26/04/2024 05:05;0 b/s;6.11 Mb/s;0 b/s;4.10 kb/s;110 kb/s;59.5 kb/s;5.02 kb/s;46.4 kb/s;17.4 kb/s;121 kb/s;0 b/s;0 b/s;-273 kb/s;0 b/s;-24 kb/s;-4.0 Mb/s;-453 kb/s;-2.9 kb/s;-304 kb/s;-1.1 kb/s;-1.3 Mb/s;0 b/s
26/04/2024 05:10;0 b/s;9.64 Mb/s;0 b/s;4.61 kb/s;121 kb/s;54.9 kb/s;5.22 kb/s;34.7 kb/s;136 kb/s;75.4 kb/s;0 b/s;0 b/s;-333 kb/s;0 b/s;-27 kb/s;-4.3 Mb/s;-699 kb/s;-2.9 kb/s;-5.9 kb/s;-2.3 Mb/s;-2.2 Mb/s;0 b/s
26/04/2024 05:15;0 b/s;5.68 Mb/s;0 b/s;4.17 kb/s;108 kb/s;24.4 kb/s;5.25 kb/s;50.2 kb/s;57.8 kb/s;13.5 kb/s;0 b/s;0 b/s;-180 kb/s;0 b/s;-24 kb/s;-4.3 Mb/s;-11 kb/s;-2.8 kb/s;-318 kb/s;-840 kb/s;-11 kb/s;0 b/s
26/04/2024 05:20;0 b/s;5.35 Mb/s;0 b/s;26.2 kb/s;119 kb/s;99.7 kb/s;4.39 kb/s;38.1 kb/s;21.3 kb/s;10.1 kb/s;0 b/s;0 b/s;-228 kb/s;0 b/s;-48 kb/s;-4.4 Mb/s;-884 kb/s;-2.4 kb/s;-6.6 kb/s;-1.6 kb/s;-5.7 kb/s;0 b/s
26/04/2024 05:25;0 b/s;7.07 Mb/s;0 b/s;40.4 kb/s;165 kb/s;44.4 kb/s;2.71 kb/s;56.3 kb/s;87.7 kb/s;11.1 kb/s;0 b/s;0 b/s;-316 kb/s;0 b/s;-59 kb/s;-5.1 Mb/s;-35 kb/s;-142 b/s;-59 kb/s;-1.6 Mb/s;-7.7 kb/s;0 b/s
26/04/2024 05:30;0 b/s;6.81 Mb/s;0 b/s;3.95 kb/s;159 kb/s;11.6 kb/s;5.08 kb/s;75.9 kb/s;43.2 kb/s;82.8 kb/s;0 b/s;0 b/s;-298 kb/s;0 b/s;-24 kb/s;-5.1 Mb/s;-2.9 kb/s;-1.1 kb/s;-851 kb/s;-528 kb/s;-109 kb/s;0 b/s
26/04/2024 05:35;0 b/s;7.43 Mb/s;0 b/s;4.39 kb/s;241 kb/s;63.2 kb/s;4.93 kb/s;44.8 kb/s;19.8 kb/s;146 kb/s;0 b/s;0 b/s;-430 kb/s;0 b/s;-25 kb/s;-6.7 Mb/s;-277 kb/s;-1.6 kb/s;-9.4 kb/s;-3.0 kb/s;-439 kb/s;0 b/s
26/04/2024 05:40;0 b/s;8.62 Mb/s;0 b/s;4.12 kb/s;164 kb/s;15.3 kb/s;4.20 kb/s;172 kb/s;35.9 kb/s;9.95 kb/s;0 b/s;0 b/s;-323 kb/s;0 b/s;-24 kb/s;-5.2 Mb/s;-6.9 kb/s;-2.1 kb/s;-2.7 Mb/s;-299 kb/s;-11 kb/s;0 b/s
26/04/2024 05:45;0 b/s;6.16 Mb/s;0 b/s;4.32 kb/s;162 kb/s;11.9 kb/s;4.45 kb/s;69.7 kb/s;17.5 kb/s;33.2 kb/s;0 b/s;0 b/s;-223 kb/s;0 b/s;-24 kb/s;-5.2 Mb/s;-5.1 kb/s;-2.4 kb/s;-779 kb/s;-925 b/s;-32 kb/s;0 b/s
26/04/2024 05:50;0 b/s;5.71 Mb/s;0 b/s;7.69 kb/s;162 kb/s;15.9 kb/s;5.00 kb/s;34.2 kb/s;46.4 kb/s;66.0 kb/s;0 b/s;0 b/s;-250 kb/s;0 b/s;-24 kb/s;-5.0 Mb/s;-4.8 kb/s;-2.7 kb/s;-5.7 kb/s;-513 kb/s;-110 kb/s;0 b/s
26/04/2024 05:55;0 b/s;5.51 Mb/s;0 b/s;25.2 kb/s;100 kb/s;12.8 kb/s;3.96 kb/s;93.3 kb/s;25.7 kb/s;1.10 Mb/s;0 b/s;0 b/s;-1.3 Mb/s;0 b/s;-46 kb/s;-3.9 Mb/s;-3.1 kb/s;-2.0 kb/s;-1.4 Mb/s;-68 kb/s;-81 kb/s;0 b/s
26/04/2024 06:00;0 b/s;4.16 Mb/s;0 b/s;70.4 kb/s;104 kb/s;30.0 kb/s;4.53 kb/s;39.5 kb/s;26.7 kb/s;14.4 kb/s;0 b/s;0 b/s;-198 kb/s;0 b/s;-95 kb/s;-4.1 Mb/s;-18 kb/s;-2.7 kb/s;-8.5 kb/s;-4.5 kb/s;-15 kb/s;0 b/s
26/04/2024 06:05;0 b/s;4.80 Mb/s;0 b/s;34.0 kb/s;109 kb/s;53.5 kb/s;4.64 kb/s;34.3 kb/s;35.8 kb/s;76.3 kb/s;0 b/s;0 b/s;-259 kb/s;0 b/s;-216 kb/s;-4.1 Mb/s;-122 kb/s;-3.2 kb/s;-5.5 kb/s;-305 kb/s;-102 kb/s;0 b/s
26/04/2024 06:10;0 b/s;4.47 Mb/s;0 b/s;51.0 kb/s;106 kb/s;18.1 kb/s;4.90 kb/s;56.2 kb/s;26.2 kb/s;14.1 kb/s;0 b/s;0 b/s;-179 kb/s;0 b/s;-74 kb/s;-4.0 Mb/s;-7.6 kb/s;-2.7 kb/s;-300 kb/s;-8.1 kb/s;-13 kb/s;0 b/s
26/04/2024 06:15;0 b/s;5.23 Mb/s;0 b/s;60.2 kb/s;89.9 kb/s;25.5 kb/s;2.96 kb/s;30.8 kb/s;61.5 kb/s;32.3 kb/s;0 b/s;0 b/s;-233 kb/s;0 b/s;-568 kb/s;-3.5 Mb/s;-243 kb/s;-1.3 kb/s;-6.2 kb/s;-738 kb/s;-12 kb/s;0 b/s
26/04/2024 06:20;0 b/s;17.1 Mb/s;0 b/s;186 kb/s;162 kb/s;281 kb/s;3.93 kb/s;129 kb/s;79.7 kb/s;34.4 kb/s;0 b/s;0 b/s;-760 kb/s;0 b/s;-2.8 Mb/s;-6.2 Mb/s;-4.5 Mb/s;-550 b/s;-1.3 Mb/s;-1.4 Mb/s;-44 kb/s;0 b/s
26/04/2024 06:25;0 b/s;6.00 Mb/s;0 b/s;35.4 kb/s;113 kb/s;135 kb/s;16.5 kb/s;70.5 kb/s;19.1 kb/s;10.1 kb/s;0 b/s;0 b/s;-303 kb/s;0 b/s;-219 kb/s;-4.2 Mb/s;-649 kb/s;-6.1 kb/s;-778 kb/s;-2.6 kb/s;-6.9 kb/s;0 b/s
26/04/2024 06:30;0 b/s;6.86 Mb/s;0 b/s;6.00 kb/s;108 kb/s;111 kb/s;4.58 kb/s;37.9 kb/s;80.2 kb/s;10.5 kb/s;0 b/s;0 b/s;-274 kb/s;0 b/s;-25 kb/s;-4.2 Mb/s;-1.1 Mb/s;-2.3 kb/s;-7.7 kb/s;-1.4 Mb/s;-4.0 kb/s;0 b/s
26/04/2024 06:35;0 b/s;21.3 Mb/s;0 b/s;4.27 kb/s;180 kb/s;392 kb/s;104 kb/s;49.4 kb/s;21.1 kb/s;19.2 kb/s;0 b/s;0 b/s;-587 kb/s;0 b/s;-24 kb/s;-5.0 Mb/s;-16 Mb/s;-33 kb/s;-301 kb/s;-2.1 kb/s;-32 kb/s;0 b/s
26/04/2024 06:40;0 b/s;7.47 Mb/s;0 b/s;2.30 kb/s;158 kb/s;1.26 Mb/s;3.71 kb/s;38.4 kb/s;40.1 kb/s;76.4 kb/s;0 b/s;0 b/s;-1.5 Mb/s;0 b/s;-13 kb/s;-4.5 Mb/s;-2.6 Mb/s;-2.0 kb/s;-12 kb/s;-13 kb/s;-315 kb/s;0 b/s
26/04/2024 06:45;0 b/s;10.4 Mb/s;0 b/s;4.33 kb/s;159 kb/s;29.7 kb/s;4.31 kb/s;120 kb/s;39.5 kb/s;140 kb/s;0 b/s;0 b/s;-419 kb/s;0 b/s;-24 kb/s;-5.1 Mb/s;-293 kb/s;-3.3 kb/s;-1.5 Mb/s;-503 kb/s;-2.7 Mb/s;0 b/s
26/04/2024 06:50;0 b/s;8.49 Mb/s;0 b/s;8.00 kb/s;157 kb/s;25.0 kb/s;5.27 kb/s;66.3 kb/s;141 kb/s;182 kb/s;0 b/s;0 b/s;-382 kb/s;0 b/s;-29 kb/s;-4.9 Mb/s;-268 kb/s;-2.7 kb/s;-780 kb/s;-42 kb/s;-2.3 Mb/s;0 b/s
